mode,msg_size,threads,throughput_gbps,latency_us,cpu_cycles,l1_misses,llc_misses,context_switches
twocopy,64,1,.010,48.08,215232000.00,0,0,25
twocopy,64,2,.021,23.72,559032000.00,0,0,75
twocopy,64,4,.029,17.29,833328000.00,0,0,195
twocopy,64,8,.076,6.66,2258520000.00,0,0,425
twocopy,256,1,.023,88.39,169968000.00,0,0,42
twocopy,256,2,.040,50.95,391776000.00,0,0,37
twocopy,256,4,.077,26.27,794064000.00,0,0,129
twocopy,256,8,.118,17.29,1193064000.00,0,0,196
twocopy,1024,1,.053,154.28,158088000.00,0,0,27
twocopy,1024,2,.103,78.89,488688000.00,0,0,78
twocopy,1024,4,.127,64.21,359976000.00,0,0,67
twocopy,1024,8,.339,24.10,1040688000.00,0,0,150
twocopy,4096,1,.132,246.39,153072000.00,0,0,44
twocopy,4096,2,.270,121.31,356040000.00,0,0,103
twocopy,4096,4,.171,190.67,241752000.00,0,0,111
twocopy,4096,8,.215,152.23,379920000.00,0,0,183
onecopy,64,1,.009,56.58,246312000.00,0,0,33
onecopy,64,2,.019,25.92,570384000.00,0,0,74
onecopy,64,4,.035,14.54,967560000.00,0,0,143
onecopy,64,8,.088,5.82,2531016000.00,0,0,437
onecopy,256,1,.019,103.30,184320000.00,0,0,38
onecopy,256,2,.039,51.40,449736000.00,0,0,106
onecopy,256,4,.064,31.69,816528000.00,0,0,202
onecopy,256,8,.151,13.51,1516152000.00,0,0,275
onecopy,1024,1,.050,163.41,373104000.00,0,0,35
onecopy,1024,2,.109,74.98,342336000.00,0,0,83
onecopy,1024,4,.149,54.66,538152000.00,0,0,73
onecopy,1024,8,.287,28.51,947904000.00,0,0,168
onecopy,4096,1,.134,244.07,163560000.00,0,0,39
onecopy,4096,2,.278,117.67,424200000.00,0,0,68
onecopy,4096,4,.377,86.85,494496000.00,0,0,134
onecopy,4096,8,.223,146.35,427656000.00,0,0,182
zerocopy,64,1,.010,46.76,283944000.00,0,0,16
zerocopy,64,2,.024,20.78,721584000.00,0,0,65
zerocopy,64,4,.037,13.82,1579392000.00,0,0,205
zerocopy,64,8,.098,5.21,3570312000.00,0,0,585
zerocopy,256,1,.020,100.31,263184000.00,0,0,42
zerocopy,256,2,.063,32.08,550272000.00,0,0,41
zerocopy,256,4,.049,41.66,477768000.00,0,0,89
zerocopy,256,8,.144,14.13,1409592000.00,0,0,281
zerocopy,1024,1,.065,126.01,177288000.00,0,0,15
zerocopy,1024,2,.124,65.57,405096000.00,0,0,32
zerocopy,1024,4,.190,42.96,599904000.00,0,0,98
zerocopy,1024,8,.229,35.73,896352000.00,0,0,171
zerocopy,4096,1,.133,244.69,222216000.00,0,0,52
zerocopy,4096,2,.253,129.37,469584000.00,0,0,122
zerocopy,4096,4,.178,183.52,394608000.00,0,0,81
zerocopy,4096,8,.743,44.06,1734096000.00,0,0,437
