Mode,Size,Threads,Throughput_Gbps,Latency_us,Cycles,L1Misses,LLCMisses,ContextSwitches
0,16384,1,71.056542,1.81,17664684144,1345183760,9209755,33
0,16384,2,136.353703,1.89,33478807625,2582003459,319534623,69
0,16384,4,246.631576,2.09,67808531645,4566879241,112768306,466
0,16384,8,147.563452,7.03,88985832070,3030479333,182696513,16978
0,65536,1,66.336692,7.87,17807890056,1618274482,19421637,25
0,65536,2,127.463325,8.19,32108373028,3119506960,434523932,49
0,65536,4,242.898226,8.60,69174773667,5932261644,122019856,263
0,65536,8,365.262326,11.41,132342224502,10425582789,31561712,3809
0,262144,1,86.444500,6.67,17732271114,1955536152,51019232,297
0,262144,2,166.791426,6.90,33747332889,3783484564,385784762,298
0,262144,4,312.953903,7.76,68393165178,7084169334,45152726,299
0,262144,8,107.324584,84.57,99840766558,2613885504,224452895,12890
0,1048576,1,71.239308,7.37,17513677339,986310004,201083144,22
0,1048576,2,135.733442,7.75,34096154393,1871768651,158475804,106
0,1048576,4,252.541245,8.39,68928309791,3404175641,107244558,118
0,1048576,8,66.488102,110.72,129623814789,1392526421,399584479,4694
1,16384,1,71.308699,1.80,17680472927,878384036,20742838,89
1,16384,2,136.239618,1.89,33269324295,1672261662,143076661,653
1,16384,4,257.525625,2.00,68114919333,3192713075,63632037,405
1,16384,8,121.298957,8.57,97925066190,1826326322,269934218,11162
1,65536,1,75.364722,6.92,17714500734,1063205247,58027356,145
1,65536,2,144.491675,7.22,33926231862,2038663940,26485575,458
1,65536,4,275.127048,7.58,68410540266,3887512480,33982104,167
1,65536,8,241.337415,17.23,104969552708,3954651303,182208563,12694
1,262144,1,101.212225,5.29,17702936672,1348163670,26743977,759
1,262144,2,192.936725,5.73,34033335325,2570731204,63981170,812
1,262144,4,355.466634,6.06,67241696238,4778618748,117614164,1107
1,262144,8,85.368660,136.54,92143525341,1088670055,259570635,14948
1,1048576,1,102.599071,5.14,17688151755,1075848055,92182433,34
1,1048576,2,192.729105,5.61,34894015099,1998396106,88550736,266
1,1048576,4,166.016001,17.51,53015585956,1847868112,215752889,7512
1,1048576,8,47.192625,704.47,111490068352,576337567,224534976,6810
2,16384,1,34.818352,2.65,17018244591,504915167,46967233,1041
2,16384,2,67.463798,2.74,34099485163,973464913,35209197,718
2,16384,4,130.059914,2.85,68139683507,1872286815,33589951,469
2,16384,8,202.752117,3.70,134492017483,3330695033,7497394,683
2,65536,1,61.077258,5.72,17628067066,888859245,19845929,678
2,65536,2,117.743198,5.94,33924292584,1711854236,45806534,629
2,65536,4,220.289605,6.37,66574374355,3201406348,74722642,1232
2,65536,8,110.010435,31.32,32233749514,1032904772,34362031,63850
2,262144,1,77.578685,8.45,16693355992,1021192311,42109526,281
2,262144,2,151.775702,8.50,34606220364,1992215023,126060614,683
2,262144,4,283.316204,9.15,66095599774,3720636739,105014715,1627
2,262144,8,62.559773,228.37,10632024467,85420666,17943020,67976
2,1048576,1,66.464828,11.42,12357367887,582687915,36587665,6009
2,1048576,2,54.791811,159.12,2705519374,60159409,9794737,30259
2,1048576,4,50.508653,652.37,2860262624,17657557,6935290,30290
2,1048576,8,37.633483,1315.06,7894083506,21859307,12519877,22639
